game,epsilon,lr,loss,win_rate_vs_random,win_rate_vs_heuristic,elo_rating,mean_ep_len,elapsed_sec,games_per_hour,snapshot
0,1.0000,1.00e-03,0.000000,0.4850,0.0000,790.2,33.3,323,11,
100,0.9864,1.00e-03,0.002492,0.5350,0.0100,782.3,33.2,17889,20,
200,0.9729,1.00e-03,0.006163,0.4750,0.0000,774.7,32.3,22812,32,
300,0.9593,1.00e-03,0.009486,0.4750,0.0000,763.5,31.5,98316,11,
400,0.9457,1.00e-03,0.004714,0.4650,0.0000,755.1,31.5,98884,15,
500,0.9321,1.00e-03,0.004778,0.5100,0.0100,750.9,32.6,99460,18,
600,0.9186,1.00e-03,0.019247,0.4700,0.0000,744.5,33.2,99980,22,
700,0.9050,1.00e-03,0.024742,0.5500,0.0000,738.3,33.6,100519,25,
800,0.8914,1.00e-03,0.026428,0.5650,0.0100,731.6,31.0,101051,29,
900,0.8779,1.00e-03,0.019633,0.5000,0.0000,723.6,32.3,101564,32,
1000,0.8643,1.00e-03,0.014712,0.4850,0.0000,715.9,31.8,102180,35,
1100,0.8507,5.00e-04,0.026830,0.5000,0.0000,710.8,33.5,102815,39,
1200,0.8371,5.00e-04,0.023771,0.5700,0.0000,705.9,31.6,103397,42,
1300,0.8236,5.00e-04,0.028988,0.4950,0.0000,704.3,31.3,104125,45,
1400,0.8100,5.00e-04,0.024339,0.5450,0.0000,699.7,31.5,104841,48,
1500,0.7964,5.00e-04,0.026212,0.6100,0.0000,696.0,32.2,105508,51,
1600,0.7829,5.00e-04,0.024044,0.6250,0.0000,691.7,31.8,116490,49,
1700,0.7693,5.00e-04,0.038652,0.6150,0.0100,687.5,31.3,117060,52,
1800,0.7557,5.00e-04,0.020278,0.6400,0.0000,686.6,29.0,117658,55,
1900,0.7421,5.00e-04,0.015554,0.6800,0.0000,685.0,28.3,118205,58,
2000,0.7286,5.00e-04,0.020419,0.7750,0.0000,681.9,27.5,118733,61,
2100,0.7150,2.50e-04,0.029158,0.7900,0.0000,680.5,27.3,119244,63,
2200,0.7014,2.50e-04,0.035171,0.8100,0.0100,679.9,26.1,119744,66,
2300,0.6879,2.50e-04,0.032216,0.7500,0.0000,679.3,26.7,120256,69,
2400,0.6743,2.50e-04,0.025759,0.8200,0.0000,680.3,26.1,121000,71,
2500,0.6607,2.50e-04,0.029867,0.8400,0.0300,678.9,25.1,121556,74,
2600,0.6471,2.50e-04,0.029781,0.8250,0.0000,678.4,25.2,122104,77,
2700,0.6336,2.50e-04,0.026850,0.8900,0.0300,678.7,24.4,122663,79,
2800,0.6200,2.50e-04,0.023870,0.8750,0.0100,679.8,24.2,123210,82,
2900,0.6064,2.50e-04,0.023906,0.8650,0.0000,680.0,24.7,123816,84,
3000,0.5929,2.50e-04,0.015107,0.8800,0.0100,681.8,23.9,131741,82,
3100,0.5793,2.50e-04,0.032477,0.9100,0.0000,682.7,24.2,132292,84,
3200,0.5657,2.50e-04,0.026589,0.9150,0.0500,684.4,21.1,132798,87,
3300,0.5521,2.50e-04,0.022218,0.8250,0.0100,685.2,24.5,133299,89,
3400,0.5386,2.50e-04,0.024777,0.7750,0.0100,682.1,26.6,133789,92,
3500,0.5250,2.50e-04,0.016912,0.9150,0.0200,682.2,21.6,134279,94,
3600,0.5114,2.50e-04,0.013417,0.8350,0.0000,683.1,24.4,134772,96,
3700,0.4979,2.50e-04,0.016254,0.9400,0.0200,684.0,21.5,135268,98,
3800,0.4843,2.50e-04,0.013325,0.8350,0.0000,684.1,24.2,135759,101,
3900,0.4707,2.50e-04,0.021803,0.8850,0.0000,685.7,24.2,136253,103,
4000,0.4571,2.50e-04,0.022769,0.9500,0.0000,687.3,18.1,136742,105,
4100,0.4436,2.50e-04,0.031943,0.9150,0.0100,687.2,23.8,137234,108,
4200,0.4300,1.25e-04,0.028445,0.9750,0.0400,690.3,19.2,137761,110,
4300,0.4164,1.25e-04,0.016579,0.9050,0.0100,690.9,22.9,138254,112,
4400,0.4029,1.25e-04,0.024196,0.9250,0.0300,690.7,22.3,138746,114,
4500,0.3893,1.25e-04,0.025648,0.9650,0.0700,692.9,17.9,139204,116,
4600,0.3757,1.25e-04,0.016118,0.9250,0.0300,695.8,21.3,139693,119,
4700,0.3621,1.25e-04,0.016639,0.9800,0.0500,697.8,17.6,140238,121,
4800,0.3486,1.25e-04,0.030888,0.9600,0.0200,699.7,19.7,140727,123,
4900,0.3350,1.25e-04,0.019998,0.9800,0.0400,700.7,18.5,141227,125,
5000,0.3214,1.25e-04,0.022471,0.9650,0.0500,703.3,17.1,141763,127,
5100,0.3079,1.25e-04,0.029569,0.9650,0.0300,705.0,17.3,142350,129,
5200,0.2943,1.25e-04,0.015188,0.9900,0.1000,705.8,15.7,142863,131,
5300,0.2807,1.25e-04,0.020409,0.9650,0.0500,707.4,15.5,143395,133,
5400,0.2671,1.25e-04,0.011441,0.9800,0.0800,708.9,15.7,143918,135,
